Year;City;Sport;Discipline;Athlete;Country;Gender;Event;Medal;nombre
2016;Rio;sailing;sailing;Cecilia Carranza Saroli;ARG;Women;sailing;Gold;Cecilia
2016;Rio;hockey;hockey;Facundo Callioni;ARG;Men;Hockey;Gold;Facundo
2016;Rio;hockey;hockey;Gonzalo Peillat;ARG;Men;Hockey;Gold;Gonzalo
2016;Rio;hockey;hockey;Ignacio Ortiz;ARG;Men;Hockey;Gold;Ignacio
2016;Rio;hockey;hockey;Isidoro Ibarra;ARG;Men;Hockey;Gold;Isidoro
2016;Rio;hockey;hockey;Joaquin Menini;ARG;Men;Hockey;Gold;Joaquín
2016;Rio;hockey;hockey;Juan Gilardi;ARG;Men;Hockey;Gold;Juan
2016;Rio;hockey;hockey;Juan Lopez;ARG;Men;Hockey;Gold;Juan Martín
2016;Rio;hockey;hockey;Juan Saladino;ARG;Men;Hockey;Gold;Juan
2016;Rio;hockey;hockey;Juan Vivaldi;ARG;Men;Hockey;Gold;Juan Manuel
2016;Rio;hockey;hockey;Luca Masso;ARG;Men;Hockey;Gold;Lucas
2016;Rio;hockey;hockey;Lucas Rey;ARG;Men;Hockey;Gold;Lucas
2016;Rio;hockey;hockey;Lucas Rossi;ARG;Men;Hockey;Gold;Lucas
2016;Rio;hockey;hockey;Lucas Vila;ARG;Men;Hockey;Gold;Lucas
2016;Rio;hockey;hockey;Manuel Brunet;ARG;Men;Hockey;Gold;Manuel
2016;Rio;hockey;hockey;Matias Paredes;ARG;Men;Hockey;Gold;Matías Enrique
2016;Rio;hockey;hockey;Matias Rey;ARG;Men;Hockey;Gold;Matías Rey
2016;Rio;judo;judo;Paula Pareto;ARG;Women;judo;Gold;Paula
2016;Rio;hockey;hockey;Pedro Ibarra;ARG;Men;Hockey;Gold;Pedrio 
2016;Rio;sailing;sailing;Santiago Lange;ARG;Men;sailing;Gold;Santiago
